identifier,citation,title,doi,year,veg_ID,region,disturbance,response_category,ci_U,ci_D,ci_SE,ci_SD,ci_SQ,ci_SR,ci_overall
1,"Acácio, V., Dias, F. S., Catry, F. X., Rocha, M., & Moreira, F. (2017). Landscape dynamics in Mediterranean oak forests under global change: Understanding the role of anthropogenic and environmental drivers across forest types. Global Change Biology, 23(3), 1199–1217. https://doi.org/10.1111/gcb.13487",Landscape dynamics in Mediterranean oak forests under global change: understanding the role of anthropogenic and environmental drivers across forest types,10.1111/gcb.13487,2017,Mediterranean oak forest,Mediterranean Basin,"Drought, Anthropogenic",Diversity,6,5,3,3,4,1,11
2,"Aguadé, D., Poyatos, R., Rosas, T., & Martínez-Vilalta, J. (2015). Comparative Drought Responses of Quercus ilex L. and Pinus sylvestris L. in a Montane Forest Undergoing a Vegetation Shift. Forests, 6(8), Article 8. https://doi.org/10.3390/f6082505",Comparative Drought Responses of Quercus ilex L. and Pinus sylvestris L. in a Montane Forest Undergoing a Vegetation Shift,10.3390/f6082505,2015,Montane forest,Mediterranean Basin,Drought,"Growth, Physiology",4,8,1,5,5,1,12
3,"Alcaraz-Segura, D., Cabello, J., Paruelo, J. M., & Delibes, M. (2008). Trends in the surface vegetation dynamics of the national parks of Spain as observed by satellite sensors. Applied Vegetation Science, 11(4), 431–440. https://doi.org/10.3170/2008-7-18522",Trends in the surface vegetation dynamics of the national parks of Spain as observed by satellite sensors,10.3170/2008-7-18522,2008,"Deciduous forest, mixed coniferous forest, garrigue, maquis",Mediterranean Basin,"Anthropogenic, Climate variation",Physiology,6,10,3,7,5,1,16
4,"Alcázar, P., Torres, C., De Linares, C., González-Minero, F. J., Valenzuela, L. R., Picornell, A., & Galán, C. (2024). Impacts of climate change on airborne Quercus pollen trends in Andalusia region (southern Spain). Regional Environmental Change, 24(2), 50. https://doi.org/10.1007/s10113-023-02181-5",Impacts of climate change on airborne Quercus pollen trends in Andalusia region (southern Spain),10.1007/s10113-023-02181-5,2024,Coniferous forest and associated communities,Mediterranean Basin,Climatic variation,Phenology,9,7,6,3,6,1,16
5,"Andivia, E., Madrigal-González, J., Villar-Salvador, P., & Zavala, M. A. (2018). Do adult trees increase conspecific juvenile resilience to recurrent droughts? Implications for forest regeneration. Ecosphere, 9(6), e02282. https://doi.org/10.1002/ecs2.2282",Do adult trees increase conspecific juvenile resilience to recurrent droughts? Implications for forest regeneration,10.1002/ecs2.2282,2018,Mediterranean continental-climate open forest,Mediterranean Basin,Drought,Growth,10,9,6,5,7,1,19
6,"Archambeau, J., Ruiz-Benito, P., Ratcliffe, S., Fréjaville, T., Changenet, A., Muñoz Castañeda, J. M., Lehtonen, A., Dahlgren, J., Zavala, M. A., & Benito Garzón, M. (2020). Similar patterns of background mortality across Europe are mostly driven by drought in European beech and a combination of drought and competition in Scots pine. Agricultural and Forest Meteorology, 280, 107772. https://doi.org/10.1016/j.agrformet.2019.107772",Similar patterns of background mortality across Europe are mostly driven by drought in European beech and a combination of drought and competition in Scots pine,10.1016/j.agrformet.2019.107772,2020,Temperate forest; Boreal forest,Mediterranean Basin,Drought,"Condition, Growth",9,9,6,6,5,1,18
7,"Beloiu, M., Poursanidis, D., Tsakirakis, A., Chrysoulakis, N., Hoffmann, S., Lymberakis, P., Barnias, A., Kienle, D., & Beierkuhnlein, C. (2022). No treeline shift despite climate change over the last 70 years. Forest Ecosystems, 9, 100002. https://doi.org/10.1016/j.fecs.2022.100002",No treeline shift despite climate change over the last 70 years,10.1016/j.fecs.2022.100002,2022,Alpine forest,Mediterranean Basin,Climate variation,"Diversity, Growth",6,8,3,5,5,1,14
8,"Bertrand, R. (2019). Unequal contributions of species’ persistence and migration on plant communities’ response to climate warming throughout forests. Ecography, 42(1), 211–213. https://doi.org/10.1111/ecog.03591",Unequal contributions of species’ persistence and migration on plant communities’ response to climate warming throughout forests,10.1111/ecog.03591,2019,Multiple biomes,Mediterranean Basin,Climatic variation,Diversity,6,6,3,3,5,1,12
9,"Bigelow, S. W., Papaik, M. J., Caum, C., & North, M. P. (2014). Faster growth in warmer winters for large trees in a Mediterranean-climate ecosystem. Climatic Change, 123(2), 215–224. https://doi.org/10.1007/s10584-014-1060-0",Faster growth in warmer winters for large trees in a Mediterranean-climate ecosystem,10.1007/s10584-014-1060-0,2014,Mixed conifer forest,"California, USA",Climate variation,Growth,9,9,6,6,5,1,18
10,"Blanco-Rodríguez, M. Á., Ameztegui, A., Gelabert, P., Rodrigues, M., & Coll, L. (2023). Short-term recovery of post-fire vegetation is primarily limited by drought in Mediterranean forest ecosystems. Fire Ecology, 19(1), 68. https://doi.org/10.1186/s42408-023-00228-w",Short-term recovery of post-fire vegetation is primarily limited by drought in Mediterranean forest ecosystems,10.1186/s42408-023-00228-w,2023,Conifers and deciduous trees,Mediterranean Basin,Drought,Growth,10,8,6,5,6,1,18
